Categoría: Todas las categorías

Semana,VOX: (Comunidad de Madrid)
2018-01-21,2
2018-01-28,1
2018-02-04,1
2018-02-11,1
2018-02-18,1
2018-02-25,1
2018-03-04,2
2018-03-11,2
2018-03-18,3
2018-03-25,2
2018-04-01,3
2018-04-08,2
2018-04-15,2
2018-04-22,2
2018-04-29,2
2018-05-06,2
2018-05-13,2
2018-05-20,4
2018-05-27,5
2018-06-03,5
2018-06-10,2
2018-06-17,2
2018-06-24,2
2018-07-01,2
2018-07-08,3
2018-07-15,3
2018-07-22,2
2018-07-29,3
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,3
2018-09-09,3
2018-09-16,2
2018-09-23,4
2018-09-30,5
2018-10-07,31
2018-10-14,8
2018-10-21,8
2018-10-28,7
2018-11-04,6
2018-11-11,9
2018-11-18,7
2018-11-25,13
2018-12-02,98
2018-12-09,26
2018-12-16,17
2018-12-23,16
2018-12-30,20
2019-01-06,31
2019-01-13,22
2019-01-20,14
2019-01-27,3
2019-02-03,4
2019-02-10,8
2019-02-17,8
2019-02-24,5
2019-03-03,8
2019-03-10,6
2019-03-17,10
2019-03-24,8
2019-03-31,28
2019-04-07,30
2019-04-14,35
2019-04-21,100
2019-04-28,65
2019-05-05,15
2019-05-12,21
2019-05-19,24
2019-05-26,32
2019-06-02,12
2019-06-09,14
2019-06-16,16
2019-06-23,14
2019-06-30,13
2019-07-07,10
2019-07-14,10
2019-07-21,10
2019-07-28,7
2019-08-04,5
2019-08-11,6
2019-08-18,5
2019-08-25,5
2019-09-01,7
2019-09-08,6
2019-09-15,8
2019-09-22,6
2019-09-29,10
2019-10-06,16
2019-10-13,14
2019-10-20,18
2019-10-27,20
2019-11-03,45
2019-11-10,86
2019-11-17,18
2019-11-24,15
2019-12-01,11
2019-12-08,10
2019-12-15,9
2019-12-22,7
2019-12-29,8
2020-01-05,18
2020-01-12,13
2020-01-19,11
2020-01-26,13
2020-02-02,8
2020-02-09,9
2020-02-16,8
2020-02-23,7
2020-03-01,7
2020-03-08,16
2020-03-15,9
2020-03-22,10
2020-03-29,12
2020-04-05,17
2020-04-12,12
2020-04-19,15
2020-04-26,14
2020-05-03,13
2020-05-10,14
2020-05-17,24
2020-05-24,15
2020-05-31,14
2020-06-07,9
2020-06-14,9
2020-06-21,9
2020-06-28,12
2020-07-05,9
2020-07-12,12
2020-07-19,6
2020-07-26,8
2020-08-02,6
2020-08-09,5
2020-08-16,7
2020-08-23,6
2020-08-30,6
2020-09-06,9
2020-09-13,8
2020-09-20,6
2020-09-27,10
2020-10-04,10
2020-10-11,14
2020-10-18,23
2020-10-25,8
2020-11-01,9
2020-11-08,7
2020-11-15,8
2020-11-22,7
2020-11-29,6
2020-12-06,7
2020-12-13,4
2020-12-20,6
2020-12-27,5
2021-01-03,6
2021-01-10,5
2021-01-17,6
2021-01-24,9
2021-01-31,7
2021-02-07,10
2021-02-14,14
2021-02-21,9
2021-02-28,9
2021-03-07,11
2021-03-14,12
2021-03-21,7
2021-03-28,8
2021-04-04,23
2021-04-11,17
2021-04-18,37
2021-04-25,28
2021-05-02,45
